2025-11-12 14:14:41 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-12 14:14:42 | DC-Sensor-01 | 22.3°C | Valid: True
2025-11-12 14:14:43 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-12 14:14:44 | DC-Sensor-01 | 23.6°C | Valid: True
2025-11-12 14:14:45 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-12 14:14:46 | DC-Sensor-01 | 23.8°C | Valid: True
2025-11-12 14:14:47 | DC-Sensor-01 | 23.3°C | Valid: True
2025-11-12 14:14:48 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-12 14:14:49 | DC-Sensor-01 | 22.3°C | Valid: True
2025-11-12 14:14:50 | DC-Sensor-01 | 23.1°C | Valid: True
2025-11-12 14:14:51 | DC-Sensor-01 | 23.6°C | Valid: True
2025-11-12 14:22:22 | DC-Sensor-01 | 22.1°C | Valid: True
2025-11-12 14:22:23 | DC-Sensor-01 | 23.9°C | Valid: True
2025-11-12 14:22:24 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-12 14:22:25 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-12 14:22:26 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-12 14:22:27 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-12 14:22:28 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-15 11:55:32 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-15 11:55:33 | DC-Sensor-01 | 23.1°C | Valid: True
2025-11-15 11:55:34 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-15 11:55:35 | DC-Sensor-01 | 23.1°C | Valid: True
2025-11-15 11:55:36 | DC-Sensor-01 | 22.3°C | Valid: True
2025-11-15 11:55:37 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-15 11:55:38 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-15 11:55:39 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-15 11:55:40 | DC-Sensor-01 | 23°C | Valid: True
2025-11-15 11:55:41 | DC-Sensor-01 | 23.8°C | Valid: True
2025-11-15 11:55:42 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-15 11:55:43 | DC-Sensor-01 | 23.6°C | Valid: True
2025-11-15 11:55:44 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-15 12:20:10 | DC-Sensor-01 | 22.9°C | Valid: True
2025-11-15 12:20:11 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-15 12:20:12 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-15 12:20:13 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-15 12:20:14 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-15 12:21:31 | DC-Sensor-01 | 23°C | Valid: True
2025-11-15 12:21:32 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-15 12:21:33 | DC-Sensor-01 | 23.3°C | Valid: True
2025-11-15 12:21:34 | DC-Sensor-01 | 22°C | Valid: True
2025-11-15 12:21:35 | DC-Sensor-01 | 22.3°C | Valid: True
2025-11-15 12:22:39 | DC-Sensor-01 | 23.1°C | Valid: True
2025-11-15 12:22:40 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:22:41 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:22:42 | DC-Sensor-01 | 23.8°C | Valid: True
2025-11-15 12:22:43 | DC-Sensor-01 | 23.3°C | Valid: True
2025-11-15 12:22:44 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-15 12:25:00 | DC-Sensor-01 | 23.8°C | Valid: True
